# Feed Concentration,Volumetric Recovery Rate,LCOW,LCOW wrt Feed Flow,SEC,SEC wrt Feed,number_stages
104.4444,0.25,6.493061,1.623265,22.66793,5.666982,20
104.4444,0.3,5.88423,1.765269,21.1829,6.354871,20
104.4444,0.35,5.592454,1.957359,20.72827,7.254896,20
104.4444,0.4,5.494641,2.197856,20.79198,8.316791,20
104.4444,0.45,5.571882,2.507347,21.60349,9.721569,20
104.4444,0.5,5.843773,2.921887,23.09999,11.55,20
104.4444,0.55,6.346734,3.490704,25.53513,14.04432,20
104.4444,0.6,7.148733,4.28924,29.24864,17.54918,20
104.4444,0.65,8.425969,5.47688,34.85896,22.65832,20
121.6667,0.2,10.38414,2.076829,36.80899,7.361799,20
121.6667,0.25,9.138988,2.284747,33.23315,8.308286,20
121.6667,0.3,8.417896,2.525369,31.27061,9.381182,20
121.6667,0.35,8.080586,2.828205,30.74287,10.76,20
121.6667,0.4,8.0553,3.22212,31.21868,12.48747,20
121.6667,0.45,8.284757,3.728141,32.74924,14.73716,20
121.6667,0.5,8.791105,4.395552,35.3115,17.65575,20
121.6667,0.55,9.663217,5.31477,39.41455,21.67801,20
121.6667,0.6,11.03196,6.619176,45.45649,27.27389,20
138.8889,0.2,14.27399,2.854799,52.279,10.4558,20
138.8889,0.25,12.61542,3.153855,47.28036,11.82009,20
138.8889,0.3,11.78237,3.534712,44.96283,13.48885,20
138.8889,0.35,11.40961,3.993363,44.40545,15.54191,20
138.8889,0.4,11.47547,4.590189,45.36188,18.14475,20
138.8889,0.45,11.91547,5.361963,47.81195,21.51538,20
138.8889,0.5,12.76839,6.384193,51.94126,25.97063,20
138.8889,0.55,14.15445,7.784949,58.16749,31.99212,20
156.1111,0.2,19.26107,3.852215,72.45841,14.49168,20
156.1111,0.25,17.13215,4.283037,65.76851,16.44213,20
156.1111,0.3,16.10921,4.832763,62.75837,18.82751,20
156.1111,0.35,15.71587,5.500555,62.24013,21.78404,20
156.1111,0.4,15.90291,6.361164,63.90046,25.56018,20
156.1111,0.45,16.621,7.47945,67.5854,30.41343,20
156.1111,0.5,17.94921,8.974603,73.59161,36.79581,20
173.3333,0.2,25.44728,5.089455,98.16893,19.63379,20
173.3333,0.25,22.81499,5.703748,89.24456,22.31114,20
173.3333,0.3,21.54653,6.463959,85.35292,25.60588,20
173.3333,0.35,21.15036,7.402625,85.02533,29.75887,20
173.3333,0.4,21.51542,8.606167,87.41698,34.96679,20
173.3333,0.45,22.63324,10.18496,92.52901,41.63805,20
190.5556,0.2,33.08008,6.616016,129.8001,25.96002,20
190.5556,0.25,29.80619,7.451547,118.4595,29.61487,20
190.5556,0.3,28.26148,8.478444,113.4332,34.02996,20
190.5556,0.35,27.88702,9.760457,113.0696,39.57438,20
207.7778,0.2,42.34086,8.468172,168.6428,33.72856,20
207.7778,0.25,38.28427,9.571068,154.0034,38.50084,20
207.7778,0.3,36.43319,10.92996,147.6853,44.3056,20
225.0,0.2,53.418,10.6836,215.0724,43.01447,20
225.0,0.25,48.44427,12.11107,196.4158,49.10394,20
